StreamChunk(delta='已', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='为您', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='查询', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='到', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='相关信息', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='。', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='需要', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='说明', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='的是', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='“', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='吉', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='奥', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='环', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='鹏', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='”', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='为', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='常见', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='错', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='字', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='正确', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='名称', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='应为', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='“', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='吉', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='奥', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='环', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='朋', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='”**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='。', done=False, reasoning='', tool_calls=None, error='', usage=None)
