StreamChunk(delta='请', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='提供', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='更多信息', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='如', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='您', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='打算', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='使用', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='此', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='搜索', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='进行', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='什么', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='操作', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='？', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='是', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='用于', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='查找', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='特定', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='的', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='文件', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='、', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='文章', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='还是', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='其他', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='类型', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='的内容', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='？', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='如果您', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='需要', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='帮助', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='进一步', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='检索', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，请', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='告诉我', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='具体的', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='操作', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='步骤', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='。', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='', done=True, reasoning='', tool_calls=None, error='', usage=None)
